name,description,site_type,longitude,latitude,elevation,datum
OL08,,Existing Latrine Site,-86.49137296713889,13.52189901284873,758.24469,WGS 84
OL09,CERCA DE POZP A 13M,Existing Latrine Site,-86.49272697977722,13.52159902453423,757.703186,WGS 84
OL11,,Existing Latrine Site,-86.4931490086019,13.52164696902037,763.662109,WGS 84
OL12,,Existing Latrine Site,-86.49354899302125,13.52157798595726,761.196045,WGS 84
OL13,,Existing Latrine Site,-86.49400304071605,13.51866896264255,764.095276,WGS 84
OL14,,Existing Latrine Site,-86.4936670102179,13.52079796604812,752.178223,WGS 84
OL15,,Existing Latrine Site,-86.49474601261318,13.5202310141176,753.990784,WGS 84
OL16,,Existing Latrine Site,-86.49463101290166,13.52104296907783,753.119141,WGS 84
OL17,,Existing Latrine Site,-86.4940970018506,13.52209598757327,716.97998,WGS 84
OL18,,Existing Latrine Site,-86.49495203979313,13.52196397259831,750.354919,WGS 84
OL19,,Existing Latrine Site,-86.49480300955474,13.52212800644338,771.85321,WGS 84
OL20,,Existing Latrine Site,-86.49472396820784,13.52252597920597,776.117981,WGS 84
OL21,,Existing Latrine Site,-86.4957120269537,13.52163196541369,767.5413209999999,WGS 84
OL22,,Existing Latrine Site,-86.49635198526084,13.52146499790251,772.279907,WGS 84
OL23,,Existing Latrine Site,-86.49592199362814,13.52049797773361,782.526001,WGS 84
OL24,,Existing Latrine Site,-86.49627001024783,13.52027401328087,784.9722900000002,WGS 84
OL25,,Existing Latrine Site,-86.49618602357805,13.51993303745985,789.759705,WGS 84
OL26,,Existing Latrine Site,-86.49676898494363,13.52191996760666,784.680176,WGS 84
OL27,,Existing Latrine Site,-86.4968310110271,13.52206598035991,785.092712,WGS 84
OL28,,Existing Latrine Site,-86.49714700877666,13.52236303500831,787.3004760000001,WGS 84
OL30,,Existing Latrine Site,-86.49743501096964,13.5223170183599,783.708069,WGS 84
OL31,,Existing Latrine Site,-86.49812199175358,13.52161201648414,800.693176,WGS 84
OL32,,Existing Latrine Site,-86.4978339895606,13.52101203985512,784.3447879999999,WGS 84
OL35,,Existing Latrine Site,-86.49842801503837,13.52091698907316,790.38739,WGS 84
OL36,,Existing Latrine Site,-86.49838099256158,13.5207109618932,792.3198239999999,WGS 84
OL37,,Existing Latrine Site,-86.49866798892617,13.52121496573091,806.9998779999999,WGS 84
OL39,,Existing Latrine Site,-86.49871501140296,13.52159600704908,823.299805,WGS 84
OL40,,Existing Latrine Site,-86.49724599905312,13.52282303385437,784.425964,WGS 84
OL41,,Existing Latrine Site,-86.49772100150585,13.522645002231,791.383728,WGS 84
OL43,,Existing Latrine Site,-86.49823196232319,13.52304599247873,787.202515,WGS 84
OL44,,Existing Latrine Site,-86.49846397340298,13.5227969661355,785.4691769999998,WGS 84
OL45,,Existing Latrine Site,-86.49887301027775,13.52351102046669,784.894287,WGS 84
OL46,,Existing Latrine Site,-86.49833397008479,13.52338403463364,784.828491,WGS 84
OL47,,Existing Latrine Site,-86.49848098866642,13.52434501983225,785.814636,WGS 84
OL48,,Existing Latrine Site,-86.49887401610613,13.52433303371072,785.579163,WGS 84
OL50,,Existing Latrine Site,-86.49942697025836,13.52442003786564,803.354431,WGS 84
OL51,,Existing Latrine Site,-86.49910401552916,13.52348302491009,753.249939,WGS 84
OL53,,Existing Latrine Site,-86.49929101578891,13.5231439769268,783.079895,WGS 84
OL55,,Existing Latrine Site,-86.5000410284847,13.52249898947775,813.562134,WGS 84
OL56,,Existing Latrine Site,-86.50006500072777,13.52273100055754,825.2501830000001,WGS 84
OL57,,Existing Latrine Site,-86.5003970079124,13.5228849761188,837.1846309999999,WGS 84
OL58,,Existing Latrine Site,-86.50590098462999,13.52305898442864,907.693237,WGS 84
OL59,,Existing Latrine Site,-86.50599603541195,13.5220199637115,944.423157,WGS 84
